score,signals,permit_number,address,zip,description,valuation,sqft,floors,work_class,permit_class,issue_date,contractor_company,contractor_name,contractor_phone,contractor_city,equipment,permit_link
95,"$20M+ value, 50K+ sqft, 57 floors, New",2026-049440 BP,62 EAST AVE UNIT GAR1,78701,ePlan: Expedited Review - New Construction of Parking Garage.,154000000.0,148884.0,57,New,C- 321 Pkg Garage Bldg & Open Deck,2026-05-08,Summit Design Build,Adam Miller,(312) 229-4632,Chicago,"Tower Cranes, Concrete Equipment, Skid Steers",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13690971
95,"$20M+ value, 50K+ sqft, 57 floors, Shell",2026-049438 BP,62 EAST AVE,78701,ePlan: Expedited Review - New Shell Building of a 57-Story Mixed Use Multi-Family Bldg. with Parking Garage. Contains Lobby Offices Amenities Mail Bre,154000000.0,364250.0,57,Shell,C- 105 Five or More Family Bldgs,2026-05-08,Summit Design Build,Adam Miller,(312) 229-4632,Chicago,"Boom Lifts, Tower Cranes, Cranes, Concrete Equipment, Skid Steers",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13690966
95,"$20M+ value, 50K+ sqft, 4 floors, New",2025-141339 BP,1420 E HOWARD LN BLDG 1,78660,CONSTRUCT NEW MULTIFAMILY COMPLEX     BLDG 1 TYPE A,39719000.0,86128.0,4,New,C- 105 Five or More Family Bldgs,2026-05-08,Journeyman Construction,Cannon Kilde,(512) 247-7000,AUSTIN,"Excavators, Dozers, Loaders",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13609126
95,"$20M+ value, 50K+ sqft, 4 floors, New",2025-141340 BP,1420 E HOWARD LN BLDG 2,78660,CONSTRUCT NEW MULTIFAMILY COMPLEX     BLDG 2 TYPE B,39719000.0,72848.0,4,New,C- 105 Five or More Family Bldgs,2026-05-08,Journeyman Construction,Cannon Kilde,(512) 247-7000,AUSTIN,"Excavators, Dozers, Loaders",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13609127
95,"$20M+ value, 50K+ sqft, 4 floors, New",2025-141341 BP,1420 E HOWARD LN BLDG 3,78660,CONSTRUCT NEW MULTIFAMILY COMPLEX     BLDG 3 TYPE C,39719000.0,81656.0,4,New,C- 105 Five or More Family Bldgs,2026-05-08,Journeyman Construction,Cannon Kilde,(512) 247-7000,AUSTIN,"Excavators, Dozers, Loaders",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13609128
95,"$20M+ value, 50K+ sqft, 4 floors, New",2026-037893 BP,3505 MONTOPOLIS DR BLDG J,78744,ePlan: Commercial Expedited Review - New Construction of 4 Story Admin Office Building (56903 SF).,22000000.0,56903.0,4,New,"C- 324 Office, Bank & Professional Bldgs",2026-03-30,"ZAPALAC/REED CONSTRUCTION CO., LP",Juan-Carlos Talamantes,(512) 306-8888,BEE CAVE,Boom Lifts,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13677839
90,"$20M+ value, 50K+ sqft, 3 floors, New",2026-018953 BP,5600 SUNSHINE DR BLDG J,78756,Construction of a New 3-Story Building to include Science Labs and CTE Spaces Additional Parking and Landscape  PuPR2,35587000.0,54572.0,3,New,C- 326 Schools & Other Educational Bldgs,2026-04-16,Adolfson & Peterson Construction,Lance Bonderer,(785) 456-3702,AUSTIN,"Boom Lifts, Skid Steers",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13656389
85,"$20M+ value, 4 floors, New",2025-141344 BP,1420 E HOWARD LN BLDG CP1,78660,CONSTRUCT NEW MULTIFAMILY COMPLEX - CARPORT,39719000.0,975.0,4,New,C- 105 Five or More Family Bldgs,2026-05-08,Journeyman Construction,Cannon Kilde,(512) 247-7000,AUSTIN,"Excavators, Dozers, Loaders",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13609131
85,"$20M+ value, 4 floors, New",2025-141351 BP,1420 E HOWARD LN BLDG CP8,78660,CONSTRUCT NEW MULTIFAMILY COMPLEX - CARPORT,39719000.0,975.0,4,New,C- 105 Five or More Family Bldgs,2026-05-08,Journeyman Construction,Cannon Kilde,(512) 247-7000,AUSTIN,"Excavators, Dozers, Loaders",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13609138
85,"$20M+ value, 4 floors, New",2025-141348 BP,1420 E HOWARD LN BLDG CP5,78660,CONSTRUCT NEW MULTIFAMILY COMPLEX - CARPORT,39719000.0,975.0,4,New,C- 105 Five or More Family Bldgs,2026-05-08,Journeyman Construction,Cannon Kilde,(512) 247-7000,AUSTIN,"Excavators, Dozers, Loaders",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13609135
85,"$20M+ value, 4 floors, New",2025-141347 BP,1420 E HOWARD LN BLDG CP4,78660,CONSTRUCT NEW MULTIFAMILY COMPLEX - CARPORT,39719000.0,975.0,4,New,C- 105 Five or More Family Bldgs,2026-05-08,Journeyman Construction,Cannon Kilde,(512) 247-7000,AUSTIN,"Excavators, Dozers, Loaders",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13609134
85,"$20M+ value, 4 floors, New",2025-141346 BP,1420 E HOWARD LN BLDG CP3,78660,CONSTRUCT NEW MULTIFAMILY COMPLEX     CARPORT,39719000.0,975.0,4,New,C- 105 Five or More Family Bldgs,2026-05-08,Journeyman Construction,Cannon Kilde,(512) 247-7000,AUSTIN,"Excavators, Dozers, Loaders",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13609133
85,"$20M+ value, 4 floors, New",2025-141349 BP,1420 E HOWARD LN BLDG CP6,78660,CONSTRUCT NEW MULTIFAMILY COMPLEX - CARPORT,39719000.0,975.0,4,New,C- 105 Five or More Family Bldgs,2026-05-08,Journeyman Construction,Cannon Kilde,(512) 247-7000,AUSTIN,"Excavators, Dozers, Loaders",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13609136
85,"$20M+ value, 4 floors, New",2025-141350 BP,1420 E HOWARD LN BLDG CP7,78660,CONSTRUCT NEW MULTIFAMILY COMPLEX - CARPORT,39719000.0,975.0,4,New,C- 105 Five or More Family Bldgs,2026-05-08,Journeyman Construction,Cannon Kilde,(512) 247-7000,AUSTIN,"Excavators, Dozers, Loaders",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13609137
85,"$20M+ value, 4 floors, New",2025-141343 BP,1420 E HOWARD LN BLDG 2 UNIT CLUB,78660,CONSTRUCT NEW MULTIFAMILY COMPLEX   BLDG 2 TYPE: CLUBHOUSE,39719000.0,7562.0,4,New,C- 105 Five or More Family Bldgs,2026-05-08,Journeyman Construction,Cannon Kilde,(512) 247-7000,AUSTIN,"Excavators, Dozers, Loaders",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13609130
85,"$20M+ value, 4 floors, New",2025-141354 BP,1420 E HOWARD LN BLDG DP,78660,CONSTRUCT NEW MULTIFAMILY COMPLEX - TRASH ENCLOSURE,39719000.0,730.0,4,New,C- 105 Five or More Family Bldgs,2026-05-08,Journeyman Construction,Cannon Kilde,(512) 247-7000,AUSTIN,"Excavators, Dozers, Loaders",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13609141
85,"$20M+ value, 4 floors, New",2025-141352 BP,1420 E HOWARD LN BLDG CP9,78660,CONSTRUCT NEW MULTIFAMILY COMPLEX - CARPORT,39719000.0,975.0,4,New,C- 105 Five or More Family Bldgs,2026-05-08,Journeyman Construction,Cannon Kilde,(512) 247-7000,AUSTIN,"Excavators, Dozers, Loaders",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13609139
85,"$20M+ value, 10K+ sqft, 3 floors, New",2025-141342 BP,1420 E HOWARD LN,78660,CONSTRUCT NEW MULTIFAMILY COMPLEX     BLDG 4 TYPE D,39719000.0,15984.0,3,New,C- 105 Five or More Family Bldgs,2026-05-08,Journeyman Construction,Cannon Kilde,(512) 247-7000,AUSTIN,"Excavators, Dozers, Loaders",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13609129
85,"$20M+ value, 4 floors, New",2025-141353 BP,1420 E HOWARD LN BLDG EV,78660,CONSTRUCT NEW MULTIFAMILY COMPLEX - EV CHARGERS (4),39719000.0,730.0,4,New,C- 105 Five or More Family Bldgs,2026-05-08,Journeyman Construction,Cannon Kilde,(512) 247-7000,AUSTIN,"Excavators, Dozers, Loaders",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13609140
85,"$20M+ value, 4 floors, New",2025-141345 BP,1420 E HOWARD LN BLDG CP2,78660,CONSTRUCT NEW MULTIFAMILY COMPLEX - CARPORT,39719000.0,975.0,4,New,C- 105 Five or More Family Bldgs,2026-05-08,Journeyman Construction,Cannon Kilde,(512) 247-7000,AUSTIN,"Excavators, Dozers, Loaders",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13609132
80,"$10M+ value, 10K+ sqft, 3 floors, Addition and Remodel",2026-035667 BP,1715 W CESAR CHAVEZ ST,78703,ePlan: Commercial Expedited Review - [PUBLIC PROJECT] Addition and Remodel to Austin High School. Phase 3. (396761 SF).,10357457.0,21520.0,3,Addition and Remodel,"C- 437 Addn, Alter, Convn-NonRes",2026-04-07,Cadence McShane Construction Company,Alexis Stecker,(512) 328-1411,AUSTIN,Boom Lifts,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13675246
75,"$20M+ value, New",2026-037894 BP,3505 MONTOPOLIS DR BLDG GEN,78744,ePlan: Commercial Expedited Review - New Construction of Genset with Enclosure.,22000000.0,1000.0,1,New,C- 329 Com Structures Other Than Bldg,2026-03-30,"ZAPALAC/REED CONSTRUCTION CO., LP",Juan-Carlos Talamantes,(512) 306-8888,BEE CAVE,"Excavators, Dozers, Loaders",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13677840
75,"$20M+ value, New",2026-037896 BP,3505 MONTOPOLIS DR BLDG DP,78744,ePlan: Commercial Expedited Review - New Dumpster Enclosure and Irrigation Cistern.,22000000.0,600.0,1,New,C- 329 Com Structures Other Than Bldg,2026-03-30,"ZAPALAC/REED CONSTRUCTION CO., LP",Juan-Carlos Talamantes,(512) 306-8888,BEE CAVE,"Excavators, Dozers, Loaders",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13677842
75,"$10M+ value, 10K+ sqft, New",2025-052515 BP,7734 MC KINNEY FALLS PKWY,78744,ePlan: Commercial Expedited Review - New Construction of Retail Building including Convenience Store and lease Space for Future Tenants (11000 SF).,15000000.0,11000.0,1,New,C- 327 Stores & Customer Services,2026-03-18,PrimeHaven Development LLC,Alim Mahesania,(512) 586-1532,AUSTIN,"Excavators, Dozers, Loaders",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13509152
70,"$10M+ value, New",2026-057523 BP,11900 VISTA PARKE DR,78726,New construction of 8 high chain link fence. Commercial Building Application for the length of 43-0 of interior site fence between existing Building,17510428.0,1000.0,1,New,C- 322 Service Station & Repair Garage,2026-05-08,Bartlett Cocke General Contractors (MAIN),Donna Kirkpatrick,(512) 326-4223,Austin,"Boom Lifts, Scissor Lifts",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13700234
