score,signals,permit_number,address,zip,description,valuation,sqft,floors,work_class,permit_class,issue_date,contractor_company,contractor_name,contractor_phone,contractor_city,equipment,permit_link
95,"$20M+ value, 50K+ sqft, 4 floors, New",2026-037893 BP,3505 MONTOPOLIS DR BLDG J,78744,ePlan: Commercial Expedited Review - New Construction of 4 Story Admin Office Building (56903 SF).,22000000.0,56903.0,4,New,"C- 324 Office, Bank & Professional Bldgs",2026-03-30,"ZAPALAC/REED CONSTRUCTION CO., LP",Juan-Carlos Talamantes,(512) 306-8888,BEE CAVE,Boom Lifts,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13677839
90,"$20M+ value, 50K+ sqft, 3 floors, New",2026-018953 BP,5600 SUNSHINE DR BLDG J,78756,Construction of a New 3-Story Building to include Science Labs and CTE Spaces Additional Parking and Landscape  PuPR2,35587000.0,54572.0,3,New,C- 326 Schools & Other Educational Bldgs,2026-04-16,Adolfson & Peterson Construction,Lance Bonderer,(785) 456-3702,AUSTIN,"Boom Lifts, Skid Steers",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13656389
80,"$10M+ value, 10K+ sqft, 3 floors, Addition and Remodel",2026-035667 BP,1715 W CESAR CHAVEZ ST,78703,ePlan: Commercial Expedited Review - [PUBLIC PROJECT] Addition and Remodel to Austin High School. Phase 3. (396761 SF).,10357457.0,21520.0,3,Addition and Remodel,"C- 437 Addn, Alter, Convn-NonRes",2026-04-07,Cadence McShane Construction Company,Alexis Stecker,(512) 328-1411,AUSTIN,Boom Lifts,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13675246
75,"$20M+ value, New",2026-037894 BP,3505 MONTOPOLIS DR BLDG GEN,78744,ePlan: Commercial Expedited Review - New Construction of Genset with Enclosure.,22000000.0,1000.0,1,New,C- 329 Com Structures Other Than Bldg,2026-03-30,"ZAPALAC/REED CONSTRUCTION CO., LP",Juan-Carlos Talamantes,(512) 306-8888,BEE CAVE,"Excavators, Dozers, Loaders",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13677840
75,"$20M+ value, New",2026-037896 BP,3505 MONTOPOLIS DR BLDG DP,78744,ePlan: Commercial Expedited Review - New Dumpster Enclosure and Irrigation Cistern.,22000000.0,600.0,1,New,C- 329 Com Structures Other Than Bldg,2026-03-30,"ZAPALAC/REED CONSTRUCTION CO., LP",Juan-Carlos Talamantes,(512) 306-8888,BEE CAVE,"Excavators, Dozers, Loaders",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13677842
75,"$10M+ value, 10K+ sqft, New",2025-052515 BP,7734 MC KINNEY FALLS PKWY,78744,ePlan: Commercial Expedited Review - New Construction of Retail Building including Convenience Store and lease Space for Future Tenants (11000 SF).,15000000.0,11000.0,1,New,C- 327 Stores & Customer Services,2026-03-18,PrimeHaven Development LLC,Alim Mahesania,(512) 586-1532,AUSTIN,"Excavators, Dozers, Loaders",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13509152
70,"$10M+ value, New",2026-039671 BP,2901 S US 183 HWY NB,78719,BAUS - Airport Project: Install Necessary Fuel Infrastructure and Equipment to Support a Future Concourse hydrant fuel system and receipt of jet fuel,15000000.0,640.0,1,New,C- 328 Commercial Other Nonresident Bldg,2026-04-21,"Burns & McDonnell Engineering Company, Inc",Kyle Smith,(816) 276-1577,KANSAS CITY,Boom Lifts,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13679818
70,"$5M+ value, 10K+ sqft, New",2026-034125 BP,2220 E M FRANKLIN AVE,78723,CONSTRUCT NEW OFFICE BUILDING WITH ACCESORY USES (STORAGE BLOOD DONATION AREAS),7000000.0,16169.0,1,New,"C- 324 Office, Bank & Professional Bldgs",2026-03-24,"Sturzenbecker Construction Co., Inc.",James Sturzenbecker,(843) 626-3500,Myrtle Beach,"Excavators, Dozers, Loaders",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13673532
70,"$1M+ value, 10K+ sqft, 2 floors, New",2025-062684 BP,912 BASTROP HWY SB,78741,Core and shell pre-engineered metal buildings with individual tenant lease spaces.(3 Buildings - Multi-app - Building 2 3 and 4),2091600.0,15680.0,2,New,"C- 324 Office, Bank & Professional Bldgs",2026-04-17,"Engen Contracting, Inc.",Michael Engen,(512) 342-2774,AUSTIN,Cranes,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13521042
70,"$1M+ value, 50K+ sqft, New",2026-040446 BP,7000 METROPOLIS DR UNIT 200,78744,App 1. Provide 2 L3 electric vehicle (EV) charging stations for the currently operational delivery van fleet utilizing the existing primary electrical,1869000.0,80037.0,1,New,C- 329 Com Structures Other Than Bldg,2026-04-14,"Bailey Construction & Consulting, LLC",Bill Springer,(501) 954-9201,Little Rock,"Excavators, Dozers, Loaders",https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13680716
